#,Pattern / Algorithm,Question,Status,Solution / Hints,Link
277,DP — Misc,DP on trees or ancestor-jump queries with many queries.,Not Done,"Binary lifting for LCA/kth ancestor. Or tree DP with rerooting technique. O(n log n) preprocessing.",https://leetcode.com/problems/kth-ancestor-of-a-tree-node/
278,DP — Misc,Given an equation string with one unknown X compute X.,Not Done,"Parse equation, collect X coefficients on one side and constants on other. Solve linear equation.",https://leetcode.com/problems/solve-the-equation/
,,,,
,── KMP / Z-ALGORITHM / PATTERN MATCHING ──,,,,
279,String Pattern Matching,Implement substring search using KMP.,Not Done,"Build failure/prefix function. Use it to skip re-comparing matched chars. O(n+m).",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
280,String Pattern Matching,Perform pattern search using the Z algorithm or rolling hash.,Not Done,"Z-array: Z[i] = length of longest prefix match starting at i. Or Rabin-Karp rolling hash. O(n+m).",https://www.geeksforgeeks.org/z-algorithm-linear-time-pattern-searching-algorithm/
281,String Pattern Matching,Validate abbreviations or shorthand forms like i18n or A2S.,Not Done,"Two pointers. Parse number from abbreviation, skip that many chars in word. Compare rest.",https://leetcode.com/problems/valid-word-abbreviation/
,,,,
,── STRING MANIPULATION ──,,,,
282,String Manipulation,Find the longest common prefix of a list of strings.,Not Done,"Compare char by char across all strings. Or sort and compare first and last. O(n×m).",https://leetcode.com/problems/longest-common-prefix/
283,String Manipulation,Compress a string in place.,Not Done,"Two pointers: read and write. Count consecutive chars, write char + count. O(n).",https://leetcode.com/problems/string-compression/
284,String Manipulation,Reverse a string in blocks or chunks of size k.,Not Done,"Iterate in steps of 2k. Reverse first k chars in each block. O(n).",https://leetcode.com/problems/reverse-string-ii/
285,String Manipulation,Count subsequences that start with one character and end with another.,Not Done,"Count start chars seen so far. When end char found, add count. O(n).",https://www.geeksforgeeks.org/count-subsequences-of-type-ai-bj-ck/
286,String Manipulation,Convert Roman numerals to integers.,Not Done,"Map symbols to values. If current < next, subtract; else add. Left to right. O(n).",https://leetcode.com/problems/roman-to-integer/
287,String Manipulation,Convert an integer to Roman numeral form.,Not Done,"Greedy: map [1000,900,500,400,...,1] to symbols. Subtract largest, append symbol. O(1).",https://leetcode.com/problems/integer-to-roman/
,,,,
,── TRIE ──,,,,
288,Trie,Build a trie for insert search and prefix autocomplete.,Not Done,"TrieNode: children map + isEnd. Insert/search/startsWith in O(L) per operation.",https://leetcode.com/problems/implement-trie-prefix-tree/
289,Trie,Find the longest common prefix using a trie.,Not Done,"Insert all strings. Walk root while node has single child and not end-of-word. O(total chars).",https://www.geeksforgeeks.org/longest-common-prefix-using-trie/
290,Trie,Build a word dictionary that supports wildcard queries.,Not Done,"Trie + DFS for '.' wildcard. On '.', try all children. O(26^dots × L) worst case.",https://leetcode.com/problems/design-add-and-search-words-data-structure/
291,Trie,Design search suggestions or autocomplete using a trie.,Not Done,"Walk trie to prefix node. DFS to collect top 3 lexicographic matches. O(n×L).",https://leetcode.com/problems/search-suggestions-system/
292,Trie,Solve maximum XOR or XOR queries with a trie.,Not Done,"Binary trie (MSB to LSB). For max XOR, greedily choose opposite bit. O(n × 32).",https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
293,Trie,Replace words in a sentence using dictionary roots stored in a trie.,Not Done,"Build trie from roots. For each word, find shortest prefix match. Replace. O(n×L).",https://leetcode.com/problems/replace-words/
294,Trie,Solve Word Search II using trie plus backtracking.,Not Done,"Trie from words. Backtrack on grid from trie root. Prune when no match. O(m×n×4^L).",https://leetcode.com/problems/word-search-ii/
,,,,
,── SEGMENT TREE / BIT (FENWICK) ──,,,,
295,Segment Tree / BIT,Build a segment tree for range min max or sum queries.,Not Done,"Build O(n). Query and update O(log n). Array-based or node-based.",https://www.geeksforgeeks.org/segment-tree-data-structure/
296,Segment Tree / BIT,Use a segment tree with a custom range condition such as max − min < k.,Not Done,"Store both min and max per node. Merge intervals. Query checks condition. O(n log n).",https://www.geeksforgeeks.org/segment-tree-set-2-range-maximum-query-node-update/
297,Segment Tree / BIT,Use a Fenwick tree or BIT for prefix sums and inversion-style queries.,Not Done,"update(i, delta) and query(i) in O(log n). Great for prefix sums and inversions.",https://www.geeksforgeeks.org/binary-indexed-tree-or-fenwick-tree-2/
298,Segment Tree / BIT,Count inversions using a BIT or segment tree.,Not Done,"Process right to left. Query BIT for count of smaller seen. Update. O(n log n).",https://www.geeksforgeeks.org/count-inversions-array-set-3-using-bit/
299,Segment Tree / BIT,Support range updates and point queries with a BIT or segment tree.,Not Done,"Difference array + BIT. Range update [l,r]: update(l, val), update(r+1, −val). Point query = prefix sum.",https://www.geeksforgeeks.org/binary-indexed-tree-range-updates-point-queries/
,,,,
,── BINARY LIFTING / SPARSE TABLE ──,,,,
300,Binary Lifting / Sparse Table,Use binary lifting for kth ancestor or jump queries on a tree.,Not Done,"Precompute up[v][k] = 2^k-th ancestor. Jump by decomposing k into powers of 2. O(n log n) build.",https://leetcode.com/problems/kth-ancestor-of-a-tree-node/
301,Binary Lifting / Sparse Table,Use a sparse table for static range minimum or maximum query.,Not Done,"table[i][j] = min of 2^j elements from i. Query: overlap two blocks. O(n log n) build O(1) query.",https://www.geeksforgeeks.org/sparse-table/
,,,,
,── CUSTOM DATA STRUCTURE DESIGN ──,,,,
302,Data Structure Design,Design an LRU cache.,Not Done,"HashMap + doubly linked list. Get/put O(1). Accessed → move to front. Evict from tail.",https://leetcode.com/problems/lru-cache/
303,Data Structure Design,Design a modified LRU cache where values are lists and get consumes from front.,Not Done,"LRU + deque per key. Get pops front. If empty, remove entry.",https://www.geeksforgeeks.org/lru-cache-implementation/
304,Data Structure Design,Design a string-keyed photo cache or similar cache with eviction policy.,Not Done,"LRU/LFU with string keys. Track memory/count limits. HashMap + ordered structure.",https://www.geeksforgeeks.org/lru-cache-implementation/
305,Data Structure Design,Design an LFU cache.,Not Done,"HashMap + frequency buckets (doubly linked lists). Track minFreq. O(1) get/put.",https://leetcode.com/problems/lfu-cache/
306,Data Structure Design,Design an All O(1) data structure supporting frequency updates.,Not Done,"HashMap + doubly linked list of frequency buckets. inc/dec/getMax/getMin all O(1).",https://leetcode.com/problems/all-oone-data-structure/
307,Data Structure Design,Design a RandomizedSet with O(1) insert delete and get-random.,Not Done,"HashMap (val→idx) + ArrayList. Delete: swap with last, pop. Random: random index. O(1).",https://leetcode.com/problems/insert-delete-getrandom-o1/
308,Data Structure Design,Design a RandomizedCollection that allows duplicates.,Not Done,"HashMap (val→set of indices) + ArrayList. Swap-delete trick. Handle index sets. O(1) avg.",https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/
309,Data Structure Design,Design a time-based key-value store.,Not Done,"HashMap (key → list of (timestamp, value)). Binary search on timestamp for get. O(log n).",https://leetcode.com/problems/time-based-key-value-store/
310,Data Structure Design,Design browser history with back and forward navigation.,Not Done,"Two stacks or doubly linked list. Visit clears forward. O(1) per operation.",https://leetcode.com/problems/design-browser-history/
311,Data Structure Design,Design a circular deque.,Not Done,"Array with front/rear pointers. Wrap with modulo. All operations O(1).",https://leetcode.com/problems/design-circular-deque/
312,Data Structure Design,Design a snapshot array.,Not Done,"Per-index list of (snap_id, value). Binary search on snap_id for get. O(log S) get.",https://leetcode.com/problems/snapshot-array/
313,Data Structure Design,Design an in-memory file system path structure.,Not Done,"Trie of path components. Each node: children map, optional content, isFile flag.",https://leetcode.com/problems/design-in-memory-file-system/
314,Data Structure Design,Design a leaderboard with score updates and top-k queries.,Not Done,"HashMap + sorted structure (TreeMap). addScore/top/reset. O(log n) per op.",https://leetcode.com/problems/design-a-leaderboard/
315,Data Structure Design,Design a stock price fluctuation tracker.,Not Done,"HashMap (timestamp→price) + TreeMap or two heaps for max/min. O(log n).",https://leetcode.com/problems/stock-price-fluctuation/
316,Data Structure Design,Design a structure that supports add(x) and query(largest <= x).,Not Done,"Balanced BST with floor operation. Or sorted list + binary search. O(log n) per op.",https://www.geeksforgeeks.org/floor-in-a-sorted-array/
317,Data Structure Design,Design an inverted index or word-search engine over a document collection.,Not Done,"Map each word to document ID list. Multi-word = intersect posting lists. TF-IDF for ranking.",https://www.geeksforgeeks.org/inverted-index/
318,Data Structure Design,Explain or implement external sorting for data larger than memory.,Not Done,"Split into memory-sized chunks. Sort each. K-way merge with min-heap. O(n log n).",https://www.geeksforgeeks.org/external-sorting/
,,,,
,── BIT MANIPULATION / XOR TRICKS ──,,,,
319,Bit Manipulation / XOR,Find the two numbers that appear once when every other appears twice.,Not Done,"XOR all → xor of two uniques. Split by any set bit. XOR each group separately. O(n).",https://leetcode.com/problems/single-number-iii/
320,Bit Manipulation / XOR,Find the unique number when every other number appears three times.,Not Done,"For each bit position, sum bits mod 3. Or use two bitmasks (ones, twos). O(n).",https://leetcode.com/problems/single-number-ii/
321,Bit Manipulation / XOR,Count set bits from 1 to n.,Not Done,"For each bit position, count cycles of 0s and 1s. Or formula with highest set bit. O(log n).",https://leetcode.com/problems/counting-bits/
322,Bit Manipulation / XOR,Check whether a number is a power of two or a power of four.,Not Done,"Power of 2: n > 0 && (n & (n−1)) == 0. Power of 4: also no odd-position bits. O(1).",https://leetcode.com/problems/power-of-two/
323,Bit Manipulation / XOR,Find a missing number and a repeated number using bit manipulation.,Not Done,"XOR all elements and 1..n. Use set-bit to partition into two groups. O(n).",https://www.geeksforgeeks.org/find-a-repeating-and-a-missing-number/
324,Bit Manipulation / XOR,Generate Gray code.,Not Done,"i XOR (i >> 1) for i in 0..2ⁿ−1. Or recursive: reflect and prepend 0/1.",https://leetcode.com/problems/gray-code/
325,Bit Manipulation / XOR,Add two integers without using +.,Not Done,"XOR for sum without carry. AND << 1 for carry. Repeat until carry = 0. O(32).",https://leetcode.com/problems/sum-of-two-integers/
326,Bit Manipulation / XOR,Divide two integers without using / * or %.,Not Done,"Subtract divisor shifted left (powers of 2). Binary long division. O(32).",https://leetcode.com/problems/divide-two-integers/
,,,,
,── MATH / NUMBER THEORY ──,,,,
327,Math / Number Theory,Compute Euler's totient function.,Not Done,"phi(n) = n × ∏(1 − 1/p) for prime factors p. Factorize first. O(√n).",https://www.geeksforgeeks.org/eulers-totient-function/
328,Math / Number Theory,Count trailing zeroes in a factorial.,Not Done,"Count factors of 5: n/5 + n/25 + n/125 + ... O(log n).",https://leetcode.com/problems/factorial-trailing-zeroes/
329,Math / Number Theory,Compute fast power x^n in O(log n).,Not Done,"Binary exponentiation. Odd → x × power(x, n−1). Even → power(x², n/2). Handle negative n.",https://leetcode.com/problems/powx-n/
330,Math / Number Theory,Convert a number from one base to another.,Not Done,"To base 10 first (multiply by base powers). Then to target (repeated division). O(digits).",https://www.geeksforgeeks.org/convert-base-decimal-vice-versa/
331,Math / Number Theory,Convert a fraction to recurring decimal form.,Not Done,"Long division. HashMap of remainder → position. When remainder repeats, insert parentheses.",https://leetcode.com/problems/fraction-to-recurring-decimal/
332,Math / Number Theory,Use gcd or lcm reasoning for problems like the water jug puzzle.,Not Done,"Euclidean gcd. lcm = a×b/gcd. Water jug: solvable iff target % gcd(a,b) == 0.",https://leetcode.com/problems/water-and-jug-problem/
333,Math / Number Theory,Generate primes in a range using sieve-based techniques.,Not Done,"Sieve of Eratosthenes: mark multiples. O(n log log n). Segmented sieve for large ranges.",https://leetcode.com/problems/count-primes/
334,Math / Number Theory,Compute modular exponentiation and reason about modular inverse basics.,Not Done,"Binary exp with mod. Inverse: power(a, mod−2, mod) when mod is prime (Fermat's little theorem).",https://www.geeksforgeeks.org/modular-exponentiation-power-in-modular-arithmetic/
335,Math / Number Theory,Check whether a number is a perfect square without directly using square root.,Not Done,"Binary search on [0, n]. Check mid×mid == n. Or Newton's method. O(log n).",https://leetcode.com/problems/valid-perfect-square/
336,Math / Number Theory,Solve the bulb-switching problem.,Not Done,"Bulb stays on iff toggled odd times = perfect square index. Answer = floor(√n).",https://leetcode.com/problems/bulb-switcher/
337,Math / Number Theory,Count cubes with 0 1 2 or 3 painted faces after painting outside.,Not Done,"3 faces: 8 corners. 2 faces: 12(n−2) edges. 1 face: 6(n−2)². 0 faces: (n−2)³.",https://www.geeksforgeeks.org/painted-cube-puzzle/
338,Math / Number Theory,Handle square-root exponentiation overflow and modular-arithmetic edge cases.,Not Done,"Use long/BigInteger. Check overflow before multiply. Apply mod consistently.",https://www.geeksforgeeks.org/how-to-avoid-overflow-in-modular-multiplication/
339,Math / Number Theory,Find the length of the longest run of consecutive 1s in a binary array.,Not Done,"Linear scan. Reset counter on 0, update max on 1. O(n).",https://leetcode.com/problems/max-consecutive-ones/
